# Persian shaping vectors, generated by tools/i18n/make_shaping_vectors.py -- do not edit by hand.
#
# Each line is: <logical text> TAB <visual codepoints, hex, space separated>.
# "Logical" is what the string table says; "visual" is what a left-to-right bitmap font must be handed for the
# eye to read it as Persian. Produced by arabic_reshaper 3.0.1 + python-bidi 0.6.11 on CPython 3.13.14.
#
# The Java shaper (render/PersianShaper.java) has to reproduce every line. PersianShaperTest fails on the first
# one it does not, printing both sides as codepoints.
آ	FE81
۱۲۳ بازی ۴۵۶	06F4 06F5 06F6 0020 FBFC FEAF FE8E FE91 0020 06F1 06F2 06F3
Tier 3 | Peak 175 | 42 HW	0054 0069 0065 0072 0020 0033 0020 007C 0020 0050 0065 0061 006B 0020 0031 0037 0035 0020 007C 0020 0034 0032 0020 0048 0057
بازی جدید؟	061F FEAA FBFE FEAA FE9F 0020 FBFC FEAF FE8E FE91
بله، ادامه	FEEA FEE3 FE8D FEA9 FE8D 0020 060C FEEA FEE0 FE91
نه!	0021 FEEA FEE7
سلام.	002E FEE1 FEFC FEB3
«درخت»	00AB FE96 FEA7 FEAD FEA9 00BB
(موج)	0028 FE9D FEEE FEE3 0029
الف؛ب	FE8F 061B FED2 FEDF FE8D
	
 	0020
  	0020 0020
‏	200F
‎	200E
بازی جدید	FEAA FBFE FEAA FE9F 0020 FBFC FEAF FE8E FE91
ادامه	FEEA FEE3 FE8D FEA9 FE8D
تنظیمات	FE95 FE8E FEE4 FBFF FEC8 FEE8 FE97
شبکه ریشه	FEEA FEB8 FBFE FEAD 0020 FEEA FB91 FE92 FEB7
کدکس بیشه	FEEA FEB8 FBFF FE91 0020 FEB2 FB90 FEAA FB90
پاسداری کوتاه	FEE9 FE8E FE97 FEEE FB90 0020 FBFC FEAD FE8D FEAA FEB3 FE8E FB58
دفاع از قهرمان	FEE5 FE8E FEE3 FEAE FEEC FED7 0020 FEAF FE8D 0020 FEC9 FE8E FED3 FEA9
درخت جهان در انتظار است	FE96 FEB3 FE8D 0020 FEAD FE8E FEC8 FE98 FEE7 FE8D 0020 FEAD FEA9 0020 FEE5 FE8E FEEC FE9F 0020 FE96 FEA7 FEAD FEA9
آخرین پناهگاه سبز را نگه دارید	FEAA FBFE FEAD FE8D FEA9 0020 FEEA FB95 FEE7 0020 FE8D FEAD 0020 FEB0 FE92 FEB3 0020 FEE9 FE8E FB95 FEEB FE8E FEE8 FB58 0020 FEE6 FBFE FEAE FEA7 FE81
یک دور کامل در سی موج	FE9D FEEE FEE3 0020 FBFD FEB3 0020 FEAD FEA9 0020 FEDE FEE3 FE8E FB90 0020 FEAD FEED FEA9 0020 FB8F FBFE
بازگشت به موج جاری	FBFC FEAD FE8E FE9F 0020 FE9D FEEE FEE3 0020 FEEA FE91 0020 FE96 FEB8 FB94 FEAF FE8E FE91
چوب دل و رشد دائمی	FBFD FEE4 FE8B FE8D FEA9 0020 FEAA FEB7 FEAD 0020 FEED 0020 FEDD FEA9 0020 FE8F FEEE FB7C
راحتی، موسیقی و جلوه‌ها	FE8E FEEB FEE9 FEEE FEE0 FE9F 0020 FEED 0020 FBFD FED8 FBFF FEB3 FEEE FEE3 0020 060C FBFD FE98 FEA3 FE8D FEAD
گزینه‌های راحتی روی این دستگاه ذخیره می‌شوند	FEAA FEE7 FEEE FEB7 FBFD FEE3 0020 FEE9 FEAE FBFF FEA7 FEAB 0020 FEE9 FE8E FB95 FE98 FEB3 FEA9 0020 FEE6 FBFE FE8D 0020 FBFC FEED FEAD 0020 FBFD FE98 FEA3 FE8D FEAD 0020 FBFC FE8E FEEB FEEA FEE8 FBFE FEB0 FB94
جلوه‌های صوتی	FBFD FE97 FEEE FEBB 0020 FBFC FE8E FEEB FEE9 FEEE FEE0 FE9F
ضربه‌ها، غنیمت‌ها و ارتقای سطح	FEA2 FEC4 FEB3 0020 FBFC FE8E FED8 FE97 FEAD FE8D 0020 FEED 0020 FE8E FEEB FE96 FEE4 FBFF FEE8 FECF 0020 060C FE8E FEEB FEEA FE91 FEAE FEBF
موسیقی	FBFD FED8 FBFF FEB3 FEEE FEE3
قطعهٔ پاسداری درخت جهان	FEE5 FE8E FEEC FE9F 0020 FE96 FEA7 FEAD FEA9 0020 FBFC FEAD FE8D FEAA FEB3 FE8E FB58 0020 FEEA FECC FEC4 FED7
سطح جلوه‌ها	FE8E FEEB FEE9 FEEE FEE0 FE9F 0020 FEA2 FEC4 FEB3
تیرها، ضربه‌ها و غنیمت	FE96 FEE4 FBFF FEE8 FECF 0020 FEED 0020 FE8E FEEB FEEA FE91 FEAE FEBF 0020 060C FE8E FEEB FEAE FBFF FE97
سطح موسیقی	FBFD FED8 FBFF FEB3 FEEE FEE3 0020 FEA2 FEC4 FEB3
بلندی صدای پاسداری	FBFC FEAD FE8D FEAA FEB3 FE8E FB58 0020 FBFC FE8D FEAA FEBB 0020 FBFC FEAA FEE8 FEE0 FE91
فقط لمسی	FBFD FEB4 FEE4 FEDF 0020 FEC2 FED8 FED3
برای تغییر یک ردیف را لمس کنید	FEAA FBFF FEE8 FB90 0020 FEB2 FEE4 FEDF 0020 FE8D FEAD 0020 FED2 FBFE FEA9 FEAD 0020 FB8F FBFE 0020 FEAE FBFF FBFF FED0 FE97 0020 FBFC FE8D FEAE FE91
برای بازگشت به منوی اصلی دکمهٔ بستن را لمس کنید	FEAA FBFF FEE8 FB90 0020 FEB2 FEE4 FEDF 0020 FE8D FEAD 0020 FEE6 FE98 FEB4 FE91 0020 FEEA FEE4 FB90 FEA9 0020 FBFD FEE0 FEBB FE8D 0020 FBFC FEEE FEE8 FEE3 0020 FEEA FE91 0020 FE96 FEB8 FB94 FEAF FE8E FE91 0020 FBFC FE8D FEAE FE91
زبان	FEE5 FE8E FE91 FEAF
انگلیسی	FBFD FEB4 FBFF FEE0 FB95 FEE7 FE8D
فارسی	FBFD FEB3 FEAD FE8E FED3
مکث	FE9A FB91 FEE3
ادامهٔ بازی	FBFC FEAF FE8E FE91 0020 FEEA FEE3 FE8D FEA9 FE8D
ترک کردن	FEE5 FEA9 FEAE FB90 0020 FB8E FEAE FE97
شکست خوردید	FEAA FBFE FEA9 FEAD FEEE FEA7 0020 FE96 FEB4 FB91 FEB7
درخت سوخت	FE96 FEA7 FEEE FEB3 0020 FE96 FEA7 FEAD FEA9
موج بعدی	FBFC FEAA FECC FE91 0020 FE9D FEEE FEE3
یک کارت انتخاب کنید	FEAA FBFF FEE8 FB90 0020 FE8F FE8E FEA8 FE98 FEE7 FE8D 0020 FE95 FEAD FE8E FB90 0020 FB8F FBFE
سطح بالاتر رفت	FE96 FED3 FEAD 0020 FEAE FE97 FEFB FE8E FE91 0020 FEA2 FEC4 FEB3
پیش‌نویس آزمون	FEE5 FEEE FEE3 FEAF FE81 0020 FEB2 FBFE FEEE FEE7 FEB6 FBFF FB58
کیسهٔ پشت	FE96 FEB8 FB58 0020 FEEA FEB4 FBFF FB90
فروشگاه	FEE9 FE8E FB95 FEB7 FEED FEAE FED3
بستن	FEE6 FE98 FEB4 FE91
خرید	FEAA FBFE FEAE FEA7
فروش	FEB5 FEED FEAE FED3
تجهیز	FEB0 FBFF FEEC FEA0 FE97
برداشتن	FEE6 FE98 FEB7 FE8D FEA9 FEAE FE91
سکه	FEEA FB91 FEB3
جان	FEE5 FE8E FE9F
آسیب	FE90 FBFF FEB3 FE81
سرعت	FE96 FECB FEAE FEB3
شانس	FEB2 FEE7 FE8E FEB7
گریز	FEB0 FBFE FEAE FB94
دل	FEDD FEA9
